Chacra;1.Sup;1.RegTen;1.porc_MA;1.porc_PE;1.porc_CA;1.porc_OTRO;1.porc_SC;1.EdadPEyMA;1.MOtot;2.EmpPr;2.Comerc;2.IndPr;3.MOfam;3.MH_PR;3.MH_FP;3.Act_PR;3.MO_nofam_PER;3.MO_nofam_TEM;3.MO.PER/TOT;4.Tract;4.EdTract;4.PotTract;4.Pulv;4.EdPulv;4.CapPulv;4.Elev;4.EdElev;5.Dens;5.porc_Libre;5.porc_Esp;5.porc_SinDEF;5.porc_ASP;5.porc_CAL;5.porc_OTRO;5.porc_JOVEN;5.porc_NUEVAS;6.RendRED;6.porc_BUE;6.porc_REG;6.porc_MAL
CIP34;10,1;P;66,34;33,66;0;0;0;21,67;22;No;No;No;pr+fl;12;0;N;0,2;1,58;0,11;1;78;45;1;79;1600;1;78;392,39;63,11;36,89;0;0;0;100;0;0;37,29;100;0;0
CIP35;10;P;66,94;33,06;0;0;0;14,36;12;No;No;No;prod;6;0;N;0;1,1;0;;;;1;75;1500;;;402,08;75,76;24,24;100;0;0;0;30,99;20,11;41,18;100;0;0
CIP37;12,89;P;78,31;21,69;0;0;0;36,01;30;No;No;No;pr+fl;12;0;N;0,16;2,02;0,07;3;65;42;1;91;2000;2;75;399,22;54,12;45,88;0;100;0;0;7,67;0;43,82;100;0;0
CIP39;97,15;P;62,88;15,58;21,54;0;0;15,61;0;Si;Ambos;No;nadie;0;0;N;0;0;;;;;;;;;;546,27;35,81;64,19;84,42;15,58;0;0;20,18;10,07;28,2;100;0;0
CST04;10;P;97,95;2,05;0;0;0;27,27;26;Si;Ambos;No;nadie;0;12;P;0,4;2,2;0,15;2;82;60;1;83;1600;;;453,95;40,91;59,09;100;0;0;0;7,06;20,14;38,8;100;0;0
CST09;48;P;90,25;8,38;0;0;1,37;37,41;32;Si;Ambos;No;nadie;0;0;N;0,08;0,58;0,13;3;79;48;2;72;1750;2;80;291,67;80,03;19,97;99,23;0;0,77;0;6,84;10,95;36,95;100;0;0
CST13;15,34;P;32,14;12,25;0;0;55,61;18,1;50;Si;Nac;No;nadie;0;0;N;0,26;3;0,08;1;92;60;1;70;1500;;;737,23;22,56;77,44;100;0;0;0;1,72;1,86;29,95;79,27;20,73;0
CST14;44,28;P;13,89;46,33;2,73;2,79;34,25;24;69;Si;Ambos;No;prod;12;0;N;0,09;1,45;0,06;;;;3;89;1400;;;463,81;71,01;28,99;0;0;100;0;16,87;9,47;31,75;100;0;0
CST15;13,86;P;69,99;30,01;0;0;0;21,7;18;Si;Ambos;No;nadie;0;0;N;0,14;1,15;0,11;;;;;;;;;506,04;73,64;26,36;100;0;0;0;19,59;0;36,97;100;0;0
CST16;6,28;P;26,72;40,86;0;0;32,43;35,84;7;No;No;No;prod;24;0;N;0,16;0,64;0,2;1;76;40;1;76;1600;1;76;257,75;85,6;14,4;0;0;0;100;9,73;0;37,78;100;0;0
CST17;11,97;P;100;0;0;0;0;38;28;No;No;No;flia;0;0;N;0,25;2,01;0,11;2;78;50;1;90;2000;2;78;457,44;67,66;32,34;100;0;0;0;0;0;48,86;100;0;0
CST18;19,59;D;67,69;17,1;0;0;15,21;26,6;5;Si;Ambos;No;pr+fl;12;0;N;0;0,15;0;;;;1;86;1600;;;465,97;62,33;37,67;100;0;0;0;29,63;5,19;43,63;96,68;3,32;0
CST19;13;D;70,47;29,53;0;0;0;42,36;27;No;No;No;nadie;0;0;N;0,23;1,85;0,11;;;;;;;;;338,45;100;0;68,58;0;31,42;0;1,61;0;42,36;22,08;77,92;0
CST21;11,57;D;42,46;29,16;0;0;28,38;27,19;16;No;No;No;nadie;0;12;M;0,09;1,3;0,06;1;66;65;1;68;1600;1;69;540,41;75,12;24,88;0;0;100;0;7,17;0;34,85;100;0;0
CST22;5,25;P;96,13;3,87;0;0;0;40,19;1;No;No;No;prod;0;12;O;0;0;;;;;;;;;;189,2;100;0;100;0;0;0;0;0;51,64;0;100;0
CST23;12,53;P;87,73;12,27;0;0;0;13,02;49;No;No;No;pr+fl;2;10;O;0,08;3,67;0,02;1;74;40;1;83;2000;1;80;836,64;11,46;88,54;35,81;0;64,19;0;30,77;33,7;46,32;90,85;9,15;0
GEG04;11;P;75,16;17,05;0;0;7,79;14,55;4;No;No;No;pr+fl;24;0;N;0;0;;2;71;35;1;67;1500;1;83;337,72;66,66;33,34;0;0;0;100;22,2;13,19;36,34;100;0;0
GEG05;24,48;P;65,88;32,84;1,28;0;0;13,33;19;No;No;No;prod;12;0;N;0;0,74;0;2;72;42;2;69;1600;2;69;479,27;40,54;59,46;0;46,11;0;53,89;23,23;4,09;38,31;100;0;0
GEG06;98,5;P;42,57;36,09;0;0;21,34;38,82;115;Si;Ambos;No;nadie;0;0;N;0,36;0,81;0,3;6;84;65;3;87;1867;1;83;375,13;73,94;26,06;0;0;100;0;6,63;2,15;44,63;100;0;0
GEG07;16,35;P;68,57;14,52;0;16,91;0;25,6;9;No;No;No;pr+fl;12;0;N;0,18;0,24;0,43;2;74;42;1;72;1600;1;72;330,42;73,77;26,23;77,81;22,19;0;0;21,8;0;40,3;100;0;0
GFO04;36,51;P;15,87;40,16;0;43,97;0;13,27;36;Si;Ambos;No;pr+fl;12;0;N;0,11;0,77;0,13;;;;;;;;;739,24;26,7;73,3;100;0;0;0;29,75;7,99;35,36;100;0;0
GFO06;18,46;P;90,06;9,94;0;0;0;22,49;41;No;No;No;prod;12;0;N;0,27;1,9;0,13;2;80;43;1;91;2000;1;80;196,32;100;0;100;0;0;0;0;0;32,54;100;0;0
GFO15;13;P;74,6;25,4;0;0;0;17,1;28;No;No;No;pr+fl;0;0;P;0,23;1,69;0,12;2;85;54;1;91;2000;1;78;593,88;48,95;51,05;57,63;0;42,37;0;60,21;14,13;48,98;100;0;0
